model,file,source,translation,reference
Llama 3.2 3B Instruct (Local),01,Wells Fargo Bank | Financial Services & Online Banking,Banco Wells Fargo | Servicios Financieros y Banca en Línea,Wells Fargo Bank | Servicios Financieros y Banca por Internet
Llama 3.2 3B Instruct (Local),01,How can we help?,¿Cómo podemos ayudar?,¿Cómo podemos ayudarle?
Llama 3.2 3B Instruct (Local),01,Popular FAQs,Preguntas frecuentes,Preguntas frecuentes populares
Llama 3.2 3B Instruct (Local),01,How do I find my routing and account numbers?,¿Cómo puedo encontrar mi número de ruta y mi número de cuenta?,¿Cómo puedo encontrar mis números de ruta y de cuenta?
Llama 3.2 3B Instruct (Local),01,Is there a fee for Zelle®?,¿Hay un cargo por Zelle?,¿Se aplica algún cargo por usar Zelle®?
Llama 3.2 3B Instruct (Local),01,How do I report suspected fraud?,¿Cómo denunciar fraude sospechado?,¿Qué debo hacer para reportar una sospecha de fraude?
Llama 3.2 3B Instruct (Local),01,See more FAQs,Ver más preguntas frecuentes,Ver más preguntas frecuentes
Llama 3.2 3B Instruct (Local),01,Find a location,Encuentra un lugar,Busque ATM/sucursal
Llama 3.2 3B Instruct (Local),01,Make an appointment,Haga una cita,Haga una cita
Llama 3.2 3B Instruct (Local),01,Quick help,Ayuda rápida,Ayuda rápida
Llama 3.2 3B Instruct (Local),01,Customer service and FAQs,Servicio al cliente y preguntas frecuentes,Servicio al cliente y preguntas frecuentes
Llama 3.2 3B Instruct (Local),01,Security and fraud,Seguridad y fraude,Seguridad y fraude
Llama 3.2 3B Instruct (Local),01,Global remittance,Remesas globales,Remesas globales
Llama 3.2 3B Instruct (Local),01,Foreign exchange,Cambio de divisas,Cambio de moneda extranjera
Llama 3.2 3B Instruct (Local),01,Activate debit card,Activar tarjeta de débito,Activación inicial de tarjeta de débito
Llama 3.2 3B Instruct (Local),01,Transfer and pay,Transferir y pagar,Transfiera y pague
Llama 3.2 3B Instruct (Local),01,Report fraud,Informar fraude,Reporte el fraude
Llama 3.2 3B Instruct (Local),01,Find routing and account numbers,Encuentra números de ruta y cuenta,Encuentre los números de ruta y de cuenta
Llama 3.2 3B Instruct (Local),01,Checking FAQs,Preguntas frecuentes,Preguntas frecuentes sobre cuentas de cheques
Llama 3.2 3B Instruct (Local),01,Good evening,Buenas noches,Buenas noches
Llama 3.2 3B Instruct (Local),01,Sign on to manage your accounts,Iniciar sesión para gestionar tus cuentas,Inicie sesión para administrar sus cuentas
Llama 3.2 3B Instruct (Local),01,Username,Nombre de usuario,Usuario
Llama 3.2 3B Instruct (Local),01,Password,Contraseña,Contraseña
Llama 3.2 3B Instruct (Local),01,Save username,Guardar nombre de usuario,Guarde el usuario
Llama 3.2 3B Instruct (Local),01,Notice,Atención,Aviso
Llama 3.2 3B Instruct (Local),01,"For your security, we do not recommend using this feature on a shared device.","Para su seguridad, no recomendamos utilizar esta función en un dispositivo compartido.","Por su seguridad, no recomendamos usar esta función en un dispositivo compartido."
