model,file,source,translation,reference
Llama 3.1 8B Instruct (API),01,Wells Fargo Bank | Financial Services & Online Banking,Banco Wells Fargo | Servicios Financieros y Banca en Línea,Wells Fargo Bank | Servicios Financieros y Banca por Internet
Llama 3.1 8B Instruct (API),01,How can we help?,¿En qué podemos ayudar?,¿Cómo podemos ayudarle?
Llama 3.1 8B Instruct (API),01,Popular FAQs,Preguntas Frecuentes Populares,Preguntas frecuentes populares
Llama 3.1 8B Instruct (API),01,How do I find my routing and account numbers?,¿Cómo encuentro mis números de ruta y cuenta?,¿Cómo puedo encontrar mis números de ruta y de cuenta?
Llama 3.1 8B Instruct (API),01,Is there a fee for Zelle®?,¿Hay un cargo para Zelle?,¿Se aplica algún cargo por usar Zelle®?
Llama 3.1 8B Instruct (API),01,How do I report suspected fraud?,¿Cómo denunciar un fraude sospechoso?,¿Qué debo hacer para reportar una sospecha de fraude?
Llama 3.1 8B Instruct (API),01,See more FAQs,Vea más FAQs,Ver más preguntas frecuentes
Llama 3.1 8B Instruct (API),01,Find a location,Encuentra un lugar,Busque ATM/sucursal
Llama 3.1 8B Instruct (API),01,Make an appointment,Marque una cita,Haga una cita
Llama 3.1 8B Instruct (API),01,Quick help,Ayuda rápida,Ayuda rápida
Llama 3.1 8B Instruct (API),01,Customer service and FAQs,Servicio al cliente y preguntas frecuentes,Servicio al cliente y preguntas frecuentes
Llama 3.1 8B Instruct (API),01,Security and fraud,Seguridad y fraude,Seguridad y fraude
Llama 3.1 8B Instruct (API),01,Global remittance,Remesas globales,Remesas globales
Llama 3.1 8B Instruct (API),01,Foreign exchange,Cambio de divisas,Cambio de moneda extranjera
Llama 3.1 8B Instruct (API),01,Activate debit card,Activar la tarjeta de débito,Activación inicial de tarjeta de débito
Llama 3.1 8B Instruct (API),01,Transfer and pay,Traslada y paga,Transfiera y pague
Llama 3.1 8B Instruct (API),01,Report fraud,Denunciar fraude,Reporte el fraude
Llama 3.1 8B Instruct (API),01,Find routing and account numbers,Encuentre números de ruta y de cuenta.,Encuentre los números de ruta y de cuenta
Llama 3.1 8B Instruct (API),01,Checking FAQs,Verificar Preguntas Frecuentes,Preguntas frecuentes sobre cuentas de cheques
Llama 3.1 8B Instruct (API),01,Good evening,Buenas noches.,Buenas noches
Llama 3.1 8B Instruct (API),01,Sign on to manage your accounts,Inicia sesión para gestionar tus cuentas,Inicie sesión para administrar sus cuentas
Llama 3.1 8B Instruct (API),01,Username,Nombre de usuario,Usuario
Llama 3.1 8B Instruct (API),01,Password,Contraseña,Contraseña
Llama 3.1 8B Instruct (API),01,Save username,Guardar nombre de usuario,Guarde el usuario
Llama 3.1 8B Instruct (API),01,Notice,Aviso,Aviso
Llama 3.1 8B Instruct (API),01,"For your security, we do not recommend using this feature on a shared device.","Para su seguridad, no recomendamos utilizar esta función en un dispositivo compartido.","Por su seguridad, no recomendamos usar esta función en un dispositivo compartido."
Llama 3.1 8B Instruct (API),01,Enroll,Inscribirse,Inscríbase
Llama 3.1 8B Instruct (API),01,Forgot username or password?,¿Olvidaste tu nombre de usuario o contraseña?,¿Olvidó su usuario o contraseña?
Llama 3.1 8B Instruct (API),01,Security Center,Centro de Seguridad,Centro de seguridad
Llama 3.1 8B Instruct (API),01,"Privacy, Cookies, and Legal","Privacidad, Cookies y Términos Legales","Privacidad, cookies y asuntos legales"
Llama 3.1 8B Instruct (API),01,Screen image simulated.,Imagen de pantalla simulada.,La imagen en pantalla es simulada.
Llama 3.1 8B Instruct (API),02,Say hello to convenient checking,Saludar a las verificaciones convenientes,Hola a una cuenta de cheques conveniente
Llama 3.1 8B Instruct (API),02,Explore our checking options and choose the right account for you,Explora nuestras opciones de cuenta de cheques y elige la cuenta adecuada para ti.,Explore nuestras opciones de cuentas de cheques y elija la adecuada para usted
Llama 3.1 8B Instruct (API),02,Get started,Comience,Para comenzar
Llama 3.1 8B Instruct (API),02,Find mortgage happiness,Encuentra la felicidad hipotecaria.,Sienta alegría hipotecaria
Llama 3.1 8B Instruct (API),02,With a down payment as low as 3%,Con un pago inicial tan bajo como el 3%,"Con un pago inicial bajo, desde tan solo el 3%"
Llama 3.1 8B Instruct (API),02,Learn more,Aprende más,Más información
Llama 3.1 8B Instruct (API),02,Unlock convenient checking,Desbloquear la cuenta de cheques conveniente,Acceda una cuenta de cheques conveniente
Llama 3.1 8B Instruct (API),02,Find a credit card,Encuentra una tarjeta de crédito,Encuentre una tarjeta de crédito
Llama 3.1 8B Instruct (API),02,"Low intro rate, cash back, rewards and more","Tarifa de introducción baja, devolución en efectivo, recompensas y más","Baja tasa intro, recompensas en efectivo y más"
Llama 3.1 8B Instruct (API),02,Interest rates today,Tasas de interés de hoy,Tasas de interés hoy
Llama 3.1 8B Instruct (API),02,Check rates,Ver tasas,Consulte las tasas
Llama 3.1 8B Instruct (API),02,A home of your own,Un hogar propio,Una casa propia
Llama 3.1 8B Instruct (API),02,With low down payment options on a fixed-rate mortgage,Con opciones de pago inicial bajo en un préstamo hipotecario a tipo de interés fijo,Con opciones de pago inicial bajo en hipotecas de tasa fija
Llama 3.1 8B Instruct (API),02,Financial guidance and support,Asesoramiento y apoyo financiero,Apoyo y orientación financieros
Llama 3.1 8B Instruct (API),02,Save. Invest. Retire well.,Ahorrar. Invertir. Retirarse con comodidad.,Ahorre. Invierta. Jubílese bien.
Llama 3.1 8B Instruct (API),02,Discover how to start saving to meet your retirement goals,Descubre cómo empezar a ahorrar para alcanzar tus objetivos de jubilación.,Descubra cómo comenzar a ahorrar para cumplir sus metas para la jubilación
Llama 3.1 8B Instruct (API),02,Reduce debt. Build credit. Enjoy life.,Reduzca la deuda. Construya su crédito. Disfrute de la vida.,Menor deuda. Mejor crédito. Viva la vida.
Llama 3.1 8B Instruct (API),02,Banking in the palm of your hand,Banca en la palma de tu mano,Servicios bancarios en la palma de su mano
Llama 3.1 8B Instruct (API),02,Our Wells Fargo Mobile® app gives you fast and secure access to your finances,Nuestra aplicación móvil Wells Fargo® te da acceso rápido y seguro a tus finanzas.,Nuestra app de Wells Fargo Mobile® le ofrece acceso rápido y seguro a sus finanzas
Llama 3.1 8B Instruct (API),02,Check your account balance,Verifique su saldo de cuenta.,Consulte el saldo de su cuenta
Llama 3.1 8B Instruct (API),02,View your latest FICO® Score,Ver su puntaje FICO® más reciente,Vea su Puntuación FICO® Score más reciente
